"TIME","Amm.kg/m^3"
2021-07-01 19:59:00,1.4e-06
2021-07-01 19:59:00,NA
2021-07-01 20:59:00,1.4e-06
2021-07-01 20:59:00,NA
2021-07-01 21:59:00,1.4e-06
2021-07-01 21:59:00,NA
2021-07-01 22:59:00,1.4e-06
2021-07-01 22:59:00,NA
2021-07-01 23:59:00,1.4e-06
2021-07-01 23:59:00,NA
2021-07-02 00:59:00,1.4e-06
2021-07-02 00:59:00,NA
2021-07-02 01:59:00,1.4e-06
2021-07-02 01:59:00,NA
2021-07-02 02:59:00,1.4e-06
2021-07-02 02:59:00,NA
2021-07-02 03:59:00,1.4e-06
2021-07-02 03:59:00,NA
2021-07-02 04:59:00,1.4e-06
2021-07-02 04:59:00,NA
2021-07-02 05:59:00,1.4e-06
2021-07-02 05:59:00,NA
2021-07-02 06:59:00,1.4e-06
2021-07-02 06:59:00,NA
2021-07-02 07:59:00,1.4e-06
2021-07-02 07:59:00,NA
2021-07-02 08:59:00,1.4e-06
2021-07-02 08:59:00,NA
2021-07-02 09:59:00,1.4e-06
2021-07-02 09:59:00,NA
2021-07-02 10:59:00,1.4e-06
2021-07-02 10:59:00,NA
2021-07-02 11:59:00,1.4e-06
2021-07-02 11:59:00,NA
2021-07-02 12:59:00,1.4e-06
2021-07-02 12:59:00,NA
2021-07-02 13:59:00,1.4e-06
2021-07-02 13:59:00,NA
2021-07-02 14:59:00,1.4e-06
2021-07-02 14:59:00,NA
2021-07-02 15:59:00,1.4e-06
2021-07-02 15:59:00,NA
2021-07-02 16:59:00,1.4e-06
2021-07-02 16:59:00,NA
2021-07-02 17:59:00,1.4e-06
2021-07-02 17:59:00,NA
2021-07-02 18:59:00,1.4e-06
2021-07-02 18:59:00,NA
2021-07-02 19:59:00,1.4e-06
2021-07-02 19:59:00,NA
2021-07-02 20:59:00,1.4e-06
2021-07-02 20:59:00,NA
2021-07-02 21:59:00,1.4e-06
2021-07-02 21:59:00,NA
2021-07-02 22:59:00,1.4e-06
2021-07-02 22:59:00,NA
2021-07-02 23:59:00,1.4e-06
2021-07-02 23:59:00,NA
2021-07-03 00:59:00,1.4e-06
2021-07-03 00:59:00,NA
2021-07-03 01:59:00,1.4e-06
2021-07-03 01:59:00,NA
2021-07-03 02:59:00,1.4e-06
2021-07-03 02:59:00,NA
2021-07-03 03:59:00,1.4e-06
2021-07-03 03:59:00,NA
2021-07-03 04:59:00,1.4e-06
2021-07-03 04:59:00,NA
2021-07-03 05:59:00,1.4e-06
2021-07-03 05:59:00,NA
2021-07-03 06:59:00,1.4e-06
2021-07-03 06:59:00,NA
2021-07-03 07:59:00,1.4e-06
2021-07-03 07:59:00,NA
2021-07-03 08:59:00,1.4e-06
2021-07-03 08:59:00,NA
2021-07-03 09:59:00,1.4e-06
2021-07-03 09:59:00,NA
2021-07-03 10:59:00,1.4e-06
2021-07-03 10:59:00,NA
2021-07-03 11:59:00,1.4e-06
2021-07-03 11:59:00,NA
2021-07-03 12:59:00,1.4e-06
2021-07-03 12:59:00,NA
2021-07-03 13:59:00,1.4e-06
2021-07-03 13:59:00,NA
2021-07-03 14:59:00,1.4e-06
2021-07-03 14:59:00,NA
2021-07-03 15:59:00,1.4e-06
2021-07-03 15:59:00,NA
2021-07-03 16:59:00,1.4e-06
2021-07-03 16:59:00,NA
2021-07-03 17:59:00,1.4e-06
2021-07-03 17:59:00,NA
2021-07-03 18:59:00,1.4e-06
2021-07-03 18:59:00,NA
2021-07-03 19:59:00,1.4e-06
2021-07-03 19:59:00,NA
2021-07-03 20:59:00,1.4e-06
2021-07-03 20:59:00,NA
2021-07-03 21:59:00,1.4e-06
2021-07-03 21:59:00,NA
2021-07-03 22:59:00,1.4e-06
2021-07-03 22:59:00,NA
2021-07-03 23:59:00,1.4e-06
2021-07-03 23:59:00,NA
2021-07-04 00:59:00,1.4e-06
2021-07-04 00:59:00,NA
2021-07-04 01:59:00,1.4e-06
2021-07-04 01:59:00,NA
2021-07-04 02:59:00,1.4e-06
2021-07-04 02:59:00,NA
2021-07-04 03:59:00,1.4e-06
2021-07-04 03:59:00,NA
2021-07-04 04:59:00,1.4e-06
2021-07-04 04:59:00,NA
