"TIME","K.kg/m^3"
2021-06-21 13:38:00,0.146207
2021-06-21 13:53:00,0.145794
2021-06-21 14:08:00,0.14585
2021-06-21 14:23:00,0.145672
2021-06-21 14:38:00,0.145571
2021-06-21 14:53:00,0.145403
2021-06-21 15:08:00,0.145283
2021-06-21 15:23:00,0.145184
2021-06-21 15:38:00,0.144935
2021-06-21 15:53:00,0.145017
2021-06-21 16:08:00,0.144953
2021-06-21 16:23:00,0.14497
2021-06-21 16:38:00,0.144826
2021-06-21 16:53:00,0.145089
2021-06-21 17:08:00,0.145089
2021-06-21 17:23:00,0.145137
2021-06-21 17:38:00,0.145355
2021-06-21 17:53:00,0.145563
2021-06-21 18:08:00,0.145672
2021-06-21 18:23:00,0.145802
2021-06-21 18:38:00,0.145892
2021-06-21 18:53:00,0.146038
2021-06-21 19:08:00,0.146127
2021-06-21 19:23:00,0.146312
2021-06-21 19:38:00,0.146611
2021-06-21 19:53:00,0.146972
2021-06-21 20:08:00,0.147383
2021-06-21 20:23:00,0.147382
2021-06-21 20:38:00,0.147471
2021-06-21 20:53:00,0.147586
2021-06-21 21:08:00,0.147752
2021-06-21 21:23:00,0.147995
2021-06-21 21:38:00,0.148148
2021-06-21 21:53:00,0.147888
2021-06-21 22:08:00,0.148137
2021-06-21 22:23:00,0.148071
2021-06-21 22:38:00,0.148106
2021-06-21 22:53:00,0.148097
2021-06-21 23:08:00,0.148212
2021-06-21 23:23:00,0.148359
2021-06-21 23:38:00,0.148506
2021-06-21 23:53:00,0.148409
2021-06-22 00:08:00,0.148397
2021-06-22 00:23:00,0.148354
2021-06-22 00:38:00,0.148373
2021-06-22 00:53:00,0.14821
2021-06-22 01:08:00,0.14828
2021-06-22 01:23:00,0.148191
2021-06-22 01:38:00,0.148165
2021-06-22 01:53:00,0.148158
2021-06-22 02:08:00,0.148232
2021-06-22 02:23:00,0.14822
2021-06-22 02:38:00,0.148289
2021-06-22 02:53:00,0.14828
2021-06-22 03:08:00,0.148324
2021-06-22 03:23:00,0.148312
2021-06-22 03:38:00,0.148374
2021-06-22 03:53:00,0.148367
2021-06-22 04:08:00,0.148317
2021-06-22 04:23:00,0.148328
2021-06-22 04:38:00,0.148377
2021-06-22 04:53:00,0.148252
2021-06-22 05:08:00,0.14838
2021-06-22 05:23:00,0.148282
2021-06-22 05:38:00,0.148342
2021-06-22 05:53:00,0.148324
2021-06-22 06:08:00,0.14825
2021-06-22 06:23:00,0.148168
2021-06-22 06:38:00,0.148029
2021-06-22 06:53:00,0.147935
2021-06-22 07:08:00,0.14792
2021-06-22 07:23:00,0.147788
2021-06-22 07:38:00,0.147653
2021-06-22 07:53:00,0.147479
2021-06-22 08:08:00,0.147206
2021-06-22 08:23:00,0.1472
2021-06-22 08:38:00,0.146967
2021-06-22 08:53:00,0.146695
2021-06-22 09:08:00,0.146446
2021-06-22 09:23:00,0.146369
2021-06-22 09:38:00,0.146073
2021-06-22 09:53:00,0.145688
2021-06-22 10:08:00,0.145194
2021-06-22 10:23:00,0.144988
2021-06-22 10:38:00,0.144974
2021-06-22 10:53:00,0.14465
2021-06-22 11:08:00,0.145049
2021-06-22 11:23:00,0.145699
2021-06-22 11:38:00,0.14587
2021-06-22 11:53:00,0.145578
2021-06-22 12:08:00,0.145313
2021-06-22 12:23:00,0.14507
2021-06-22 12:38:00,0.144997
2021-06-22 12:53:00,0.144734
2021-06-22 13:08:00,0.144614
2021-06-22 13:23:00,0.144387
2021-06-22 13:38:00,0.144255
2021-06-22 13:53:00,0.144153
2021-06-22 14:08:00,0.144136
2021-06-22 14:23:00,0.144121
2021-06-22 14:38:00,0.143741
2021-06-22 14:53:00,0.143567
2021-06-22 15:08:00,0.143524
2021-06-22 15:23:00,0.143602
2021-06-22 15:38:00,0.143512
2021-06-22 15:53:00,0.143606
2021-06-22 16:08:00,0.143528
2021-06-22 16:23:00,0.143612
2021-06-22 16:38:00,0.143974
2021-06-22 16:53:00,0.143891
2021-06-22 17:08:00,0.144164
2021-06-22 17:23:00,0.144395
2021-06-22 17:38:00,0.144394
2021-06-22 17:53:00,0.144775
2021-06-22 18:08:00,0.144643
2021-06-22 18:23:00,0.144802
2021-06-22 18:38:00,0.144882
2021-06-22 18:53:00,0.144934
2021-06-22 19:08:00,0.146068
2021-06-22 19:23:00,0.146781
2021-06-22 19:38:00,0.147186
2021-06-22 19:53:00,0.146025
2021-06-22 20:08:00,0.14623
2021-06-22 20:23:00,0.147755
2021-06-22 20:38:00,0.147819
2021-06-22 20:53:00,0.14796
2021-06-22 21:08:00,0.148157
2021-06-22 21:23:00,0.14844
2021-06-22 21:38:00,0.14845
2021-06-22 21:53:00,0.148426
2021-06-22 22:08:00,0.148639
2021-06-22 22:23:00,0.14879
2021-06-22 22:38:00,0.148693
2021-06-22 22:53:00,0.148656
2021-06-22 23:08:00,0.148687
2021-06-22 23:23:00,0.148713
2021-06-22 23:38:00,0.148827
2021-06-22 23:53:00,0.148894
2021-06-23 00:08:00,0.148969
2021-06-23 00:23:00,0.149044
2021-06-23 00:38:00,0.149125
